key,status,registry_price,live_price,drift,url,note
"precision-pro-nx9-hd","BLOCKED","~$199","","","https://www.amazon.com/dp/B0B9DLL9X9?&linkCode=ll2&tag=cubicalgolfer-20&linkId=fa4468225963d0d9b01bc2a621d23007&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"blue-tees-series-3-max","BLOCKED","~$199","","","https://www.amazon.com/dp/B09DLJ37TW?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-z82","BLOCKED","~$499","","","https://www.amazon.com/dp/B085T56B2X?&linkCode=ll2&tag=cubicalgolfer-20&linkId=fdcfca3305996c6d7b9833f63aae27b5&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"bushnell-pro-xe","BLOCKED","~$499","","","https://www.amazon.com/Bushnell-Pro-Golf-Laser-Rangefinder/dp/B07NYVC7SC?crid=88S17KL0OL28&dib_tag=se&keywords=Bushnell%2BPro%2BXE&qid=1785681998&sprefix=bushnell%2Bpro%2Bxe%2Caps%2C148&sr=8-1&linkCode=ll2&tag=cubicalgolfer-20&linkId=11a4b5da78c7cd4d66b38da92be6411b&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-s44","BLOCKED","~$289","","","https://www.amazon.com/dp/B0DRZ1WN36?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"garmin-approach-s42","BLOCKED","~$279","","","https://www.amazon.com/Garmin-Smartwatch-Lightweight-Touchscreen-010-02572-10/dp/B08X167FJG?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"shot-scope-v5","BLOCKED","~$249","","","https://www.amazon.com/dp/B0CYT7RJ54?th=1&linkCode=ll2&tag=cubicalgolfer-20&linkId=2f1753fb9db3dd87683135e4bf6bb7e0&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-paradym-ai-smoke-max","BLOCKED","~$399","","","https://www.amazon.com/Callaway-Paradym-Degrees-Regular-Standard/dp/B0FVB2B895?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-qi35-max","BLOCKED","$449.98","","","https://www.amazon.com/dp/B0DNRMSBWX?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cobra-ds-adapt-max-k","BLOCKED","~$299","","","https://www.amazon.com/dp/B0DC88GLHK?&linkCode=ll2&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"cobra-aerojet-max","NO_PRICE","~$399","","","https://www.amazon.com/Cobra-Golf-D7615LGR105A-Aerojet-Driver/dp/B0BJ4TQN5G?crid=20LUVHF17H85X&dib_tag=se&keywords=Cobra%2BAerojet%2BMax%2BDriver&qid=1785683075&sprefix=cobra%2Baerojet%2Bmax%2Bdriver%2Caps%2C329&sr=8-1&th=1&linkCode=ll2&tag=cubicalgolfer-20&linkId=f8048f262070d2bb900a413149c7465b&language=en_US&ref_=as_li_ss_tl","no price in the buy box (variant-select pages land here too — eyeball before acting)"
"titleist-pro-v1","BLOCKED","~$55/dozen","","","https://www.amazon.com/dp/B0BR2YF8T6?&linkCode=ll2&tag=cubicalgolfer-20&linkId=591502395d795cff42f0e3624096474a&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"callaway-chrome-tour-2026","BLOCKED","$57.99/dz","","","https://www.amazon.com/dp/B0FX3CZ31B?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"taylormade-tp5","BLOCKED","$46.49/dz","","","https://www.amazon.com/dp/B0FS8VD4NN?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"srixon-soft-feel","BLOCKED","~$27/dozen","","","https://www.amazon.com/Srixon-Soft-Feel-Balls-Dozen/dp/B07FB92M1V?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
"vice-pro","NO_PRICE","~$33/dozen","","","https://www.amazon.com/Vice-Golf-Pro-Balls/dp/B08FQ5P4XF?linkCode=ll1&tag=cubicalgolfer-20&language=en_US&ref_=as_li_ss_tl","no price in the buy box (variant-select pages land here too — eyeball before acting)"
"callaway-supersoft","BLOCKED","~$25/dozen","","","https://www.amazon.com/dp/B0F2FSR89S?&linkCode=ll2&tag=cubicalgolfer-20&linkId=297672ce5a5cae9464ffce71f539e866&language=en_US&ref_=as_li_ss_tl","Amazon served a robot check — nothing learned, re-run later"
